"part_id","gripper_x","gripper_y","gripper_r","part_x","part_y","part_r","camera_view"
"1000000071141","474.9274597167969","497.30474853515625","0.002592509612441063","1749.421142578125","1689.999267578125","0.05376704782247543",1
"1000000071142","458.73089599609375","638.7754516601562","0.10086705535650253","1757.593505859375","1610.952392578125","-0.27543753385543823",2
"1000000071143","475.48272705078125","496.4157409667969","-0.00006727303116349503","1749.8939208984375","1689.34423828125","-0.008504437282681465",1
"1000000071144","459.19525146484375","638.7689819335938","0.06371837854385376","1758.7984619140625","1610.0416259765625","-0.33345699310302734",2
"1000000071145","475.0376281738281","497.9430236816406","0.01076014619320631","1749.5743408203125","1690.9481201171875","-0.01907060667872429",1
"1000000071146","459.06744384765625","638.732177734375","0.07793746888637543","1758.74560546875","1610.10107421875","-0.33184194564819336",2
"1000000071147","475.21807861328125","496.36334228515625","-0.004603963810950518","1750.222900390625","1689.2322998046875","-0.0017710159299895167",1
"1000000071148","458.9616394042969","638.6474609375","0.10288169234991074","1758.4608154296875","1610.4735107421875","-0.3190985321998596",2
"1000000071149","475.0723571777344","496.5606689453125","-0.006125714164227247","1749.58740234375","1689.313232421875","0.06024617701768875",1
"1000000071150","459.2978210449219","638.6161499023438","0.06577600538730621","1758.12890625","1610.6947021484375","-0.28413107991218567",2
"1000000071151","474.80169677734375","497.7067565917969","-0.016222959384322166","1748.649658203125","1691.0675048828125","-0.07320143282413483",1
"1000000071152","458.97052001953125","638.7509765625","0.10748819261789322","1759.7188720703125","1608.8031005859375","-0.4191993772983551",2
"1000000071153","475.2730712890625","496.44073486328125","-0.010014514438807964","1749.6728515625","1689.3258056640625","0.009397673420608044",1
"1000000071154","459.1729431152344","638.558837890625","0.06411276757717133","1758.6920166015625","1609.9093017578125","-0.32750752568244934",2
"1000000071155","474.7429504394531","497.51971435546875","-0.007128196302801371","1749.6705322265625","1690.397705078125","-0.008171146735548973",1
"1000000071156","459.182373046875","638.4927368164062","0.06695472449064255","1758.620849609375","1610.2269287109375","-0.31765034794807434",2
"1000000071157","475.350830078125","496.3614501953125","0.0056736646220088005","1750.047607421875","1689.4232177734375","-0.05160089582204819",1
"1000000071158","459.25225830078125","638.6929931640625","0.059941474348306656","1759.192626953125","1609.9805908203125","-0.3624328374862671",2
"1000000071243","475.251220703125","497.4200439453125","-0.013914505019783974","1750.0230712890625","1690.522216796875","-0.018725769594311714",1
"1000000071244","459.3351135253906","638.6668701171875","0.08047311007976532","1759.1568603515625","1610.330810546875","-0.34158754348754883",2
"1000000071245","475.36749267578125","497.38330078125","-0.01108712237328291","1750.5106201171875","1690.51806640625","-0.05117129907011986",1
"1000000071246","459.2787780761719","638.7069091796875","0.09150763601064682","1759.38037109375","1610.3358154296875","-0.3739780783653259",2
"1000000071247","475.23834228515625","497.3509216308594","-0.004671259317547083","1750.614990234375","1690.17626953125","0.003869344713166356",1
"1000000071248","459.35772705078125","638.891845703125","0.06236594542860985","1758.7032470703125","1611.23583984375","-0.3150815963745117",2
"1000000071249","475.3602600097656","497.4938049316406","-0.019959166646003723","1749.7978515625","1691.10107421875","-0.12216813862323761",1
"1000000071250","459.19775390625","638.7980346679688","0.08831968903541565","1760.350341796875","1609.00634765625","-0.4294179081916809",2
"1000000071251","475.3717346191406","497.280517578125","-0.007249285466969013","1750.2470703125","1690.42041015625","-0.030112097039818764",1
"1000000071252","459.26873779296875","638.7625732421875","0.10572122037410736","1759.2503662109375","1610.4117431640625","-0.34312063455581665",2
"1000000071253","475.2705383300781","497.67510986328125","-0.003871066030114889","1750.2178955078125","1690.701416015625","-0.019898077473044395",1
"1000000071254","459.3858642578125","638.8295288085938","0.05795201286673546","1759.1236572265625","1610.6436767578125","-0.34115055203437805",2
"1000000071255","475.37255859375","497.6907653808594","-0.003536743111908436","1750.1304931640625","1691.073974609375","-0.06066089868545532",1
"1000000071256","459.3589782714844","638.77685546875","0.0956684872508049","1759.814208984375","1609.9306640625","-0.3717373013496399",2
"1000000071257","475.2747802734375","497.160888671875","-0.005152120254933834","1749.9085693359375","1690.5418701171875","-0.06979091465473175",1
"1000000071258","459.3088684082031","638.660400390625","0.09790829569101334","1759.8778076171875","1609.6270751953125","-0.3820034861564636",2
"1000000071259","475.3058166503906","497.5914611816406","-0.003639557398855686","1750.11474609375","1690.7667236328125","-0.022122826427221298",1
"1000000071260","459.3161926269531","638.736328125","0.07976298034191132","1759.2371826171875","1610.379638671875","-0.3432423174381256",2
"1000000071261","475.27301025390625","497.2896423339844","-0.003632312174886465","1750.284912109375","1690.2952880859375","0.0013185377465561032",1
"1000000071262","459.35028076171875","638.7345581054688","0.07780522108078003","1758.9111328125","1610.7774658203125","-0.3270723223686218",2
"1000000071263","475.1845397949219","497.6795654296875","-0.001272476278245449","1750.1064453125","1690.8226318359375","-0.02974802628159523",1
"1000000071264","459.3631896972656","638.7260131835938","0.08103884011507034","1759.31689453125","1610.3953857421875","-0.3520352840423584",2
"1000000071265","475.3890380859375","497.3594970703125","0.011135151609778404","1750.73779296875","1689.6533203125","0.14955464005470276",1
"1000000071266","459.39544677734375","638.8324584960938","0.06090801954269409","1757.1822509765625","1612.74072265625","-0.1993156373500824",2
